Name,Time,Amperage_A,Amperage_B,Amperage_C,Env_temp,Humidity,Upper_oil_temp,H2_concentration,CO_concentration,Built
Ледовый Дворец\Т-2,2016-04-11 05:00:00,12.824476650563607,13.845321166577206,14.326892109500806,22.0,2.066773691682526,41.0,11.888488852326157,27.526848535445737,2013
Ледовый Дворец\Т-2,2016-04-11 06:00:00,12.833333333333334,13.851851851851853,14.333333333333334,22.0,2.067094719046384,41.0,11.889689279905884,27.512968578522624,2013
Ледовый Дворец\Т-2,2016-04-11 07:00:00,12.842190016103059,13.858382537126499,14.339774557165862,22.0,2.0674157464102425,41.0,11.890889707485611,27.49908862159951,2013
Ледовый Дворец\Т-2,2016-04-11 08:00:00,12.851046698872786,13.864913222401146,14.34621578099839,22.0,2.067736773774101,41.0,11.892090135065336,27.485208664676396,2013
Ледовый Дворец\Т-2,2016-04-11 09:00:00,12.859903381642512,13.871443907675792,14.352657004830919,22.0,2.068057801137959,41.0,11.893290562645063,27.471328707753283,2013
Ледовый Дворец\Т-2,2016-04-11 10:00:00,12.868760064412239,13.877974592950439,14.359098228663447,22.0,2.0683788285018174,41.0,11.89449099022479,27.457448750830167,2013
Ледовый Дворец\Т-2,2016-04-11 11:00:00,12.877616747181964,13.884505278225085,14.365539452495975,22.0,2.0686998558656757,41.0,11.895691417804516,27.443568793907055,2013
Ледовый Дворец\Т-2,2016-04-11 12:00:00,12.88647342995169,13.891035963499732,14.371980676328501,22.0,2.069020883229534,41.0,11.896891845384243,27.429688836983942,2013
Ледовый Дворец\Т-2,2016-04-11 13:00:00,12.895330112721417,13.89756664877438,14.37842190016103,22.0,2.0693419105933923,41.0,11.898092272963968,27.415808880060826,2013
Ледовый Дворец\Т-2,2016-04-11 14:00:00,12.904186795491142,13.904097334049025,14.384863123993558,22.0,2.0696629379572506,41.0,11.899292700543695,27.401928923137714,2013
Ледовый Дворец\Т-2,2016-04-11 15:00:00,12.91304347826087,13.910628019323672,14.391304347826086,22.0,2.069983965321109,41.0,11.900493128123422,27.388048966214598,2013
Ледовый Дворец\Т-2,2016-04-11 16:00:00,12.921900161030596,13.917158704598318,14.397745571658614,22.0,2.0703049926849673,41.0,11.901693555703147,27.374169009291485,2013
Ледовый Дворец\Т-2,2016-04-11 17:00:00,12.930756843800323,13.923689389872965,14.404186795491142,22.0,2.0706260200488256,41.0,11.902893983282874,27.360289052368373,2013
Ледовый Дворец\Т-2,2016-04-11 18:00:00,12.939613526570048,13.930220075147613,14.41062801932367,22.0,2.070947047412684,41.0,11.9040944108626,27.346409095445257,2013
Ледовый Дворец\Т-2,2016-04-11 19:00:00,12.948470209339774,13.936750760422258,14.417069243156199,22.0,2.071268074776542,41.0,11.905294838442327,27.332529138522144,2013
Ледовый Дворец\Т-2,2016-04-11 20:00:00,12.957326892109501,13.943281445696906,14.423510466988727,22.0,2.0715891021404005,41.0,11.906495266022054,27.318649181599028,2013
Ледовый Дворец\Т-2,2016-04-11 21:00:00,12.966183574879228,13.949812130971551,14.429951690821255,22.0,2.071910129504259,41.0,11.907695693601779,27.304769224675915,2013
Ледовый Дворец\Т-2,2016-04-11 22:00:00,12.975040257648953,13.956342816246199,14.436392914653783,22.0,2.072231156868117,41.0,11.908896121181506,27.290889267752803,2013
Ледовый Дворец\Т-2,2016-04-11 23:00:00,12.98389694041868,13.962873501520844,14.442834138486312,22.0,2.0725521842319754,41.0,11.910096548761233,27.277009310829687,2013
Ледовый Дворец\Т-2,2016-04-12 00:00:00,12.992753623188406,13.969404186795492,14.44927536231884,22.0,2.0728732115958337,41.0,11.911296976340958,27.263129353906574,2013
Ледовый Дворец\Т-2,2016-04-12 01:00:00,13.001610305958131,13.975934872070138,14.455716586151368,22.0,2.073194238959692,41.0,11.912497403920685,27.249249396983462,2013
Ледовый Дворец\Т-2,2016-04-12 02:00:00,13.010466988727858,13.982465557344785,14.462157809983896,22.0,2.0735152663235503,41.0,11.91369783150041,27.235369440060346,2013
Ледовый Дворец\Т-2,2016-04-12 03:00:00,13.019323671497585,13.988996242619432,14.468599033816425,22.0,2.0738362936874086,41.0,11.914898259080138,27.221489483137233,2013
Ледовый Дворец\Т-2,2016-04-12 04:00:00,13.028180354267311,13.995526927894078,14.475040257648953,22.0,2.074157321051267,41.0,11.916098686659865,27.20760952621412,2013
Ледовый Дворец\Т-2,2016-04-12 05:00:00,13.037037037037036,14.002057613168725,14.481481481481481,22.0,2.0744783484151252,41.0,11.91729911423959,27.193729569291005,2013
Ледовый Дворец\Т-2,2016-04-12 06:00:00,13.045893719806763,14.008588298443371,14.48792270531401,22.0,2.0747993757789835,41.0,11.918499541819317,27.179849612367892,2013
Ледовый Дворец\Т-2,2016-04-12 07:00:00,13.05475040257649,14.015118983718018,14.494363929146537,22.0,2.075120403142842,41.0,11.919699969399042,27.165969655444776,2013
Ледовый Дворец\Т-2,2016-04-12 08:00:00,13.063607085346217,14.021649668992664,14.500805152979066,22.0,2.0754414305067,41.0,11.92090039697877,27.152089698521664,2013
Ледовый Дворец\Т-2,2016-04-12 09:00:00,13.072463768115941,14.028180354267311,14.507246376811594,22.0,2.0757624578705585,41.0,11.922100824558497,27.13820974159855,2013
Ледовый Дворец\Т-2,2016-04-12 10:00:00,13.081320450885668,14.034711039541959,14.513687600644122,22.0,2.0760834852344168,41.0,11.923301252138222,27.124329784675435,2013
Ледовый Дворец\Т-2,2016-04-12 11:00:00,13.090177133655395,14.041241724816604,14.52012882447665,22.0,2.076404512598275,41.0,11.924501679717949,27.110449827752323,2013
Ледовый Дворец\Т-2,2016-04-12 12:00:00,13.09903381642512,14.047772410091252,14.526570048309178,22.0,2.0767255399621334,41.0,11.925702107297676,27.096569870829207,2013
